Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,2024-06-29,2024-07-06,CUST715,Michael Scott,Consumer,PROD9152,Rice Bag,Grocery,West,North Carolina,North Marymouth,10,4736,15,40256.0,32395.76,7860.24,Cash,Delivered,Barron-Johnson,michael47@todd.biz,47,No,0
ORD1001,2024-06-23,2024-06-27,CUST748,Eric Cain,Home Office,PROD7490,Stapler,Office Supplies,North,Massachusetts,West Frank,1,3669,20,2935.2,1962.41,972.79,Cash,Pending,Sullivan-Rodriguez,danahamilton@wong.biz,15,No,0
ORD1002,2025-04-01,2025-04-05,CUST533,Jasmin Roach,Consumer,PROD6783,Study Table,Furniture,West,Montana,Gregorymouth,8,3617,0,28936.0,19453.81,9482.19,UPI,Pending,Macias-Stanley,maureenellis@bowman.com,15,No,0
ORD1003,2024-07-16,2024-07-19,CUST159,Kristen Santiago,Corporate,PROD5580,Sugar,Grocery,West,North Carolina,Andrefurt,10,262,5,2489.0,1588.18,900.82,Cash,Delivered,Lawrence-Fry,sstewart@adams-gonzalez.biz,49,No,0
ORD1004,2025-07-29,2025-08-02,CUST382,Brian Hobbs,Home Office,PROD5872,Pen,Office Supplies,West,California,Lake Dawnview,10,3535,0,35350.0,27593.84,7756.16,Cash,Returned,Mejia-Solomon,randy18@ortiz-taylor.com,13,No,0
ORD1005,2025-02-25,2025-02-28,CUST660,Katherine Henderson,Consumer,PROD9519,Sugar,Grocery,South,Idaho,Thomasside,4,4134,10,14882.4,11747.87,3134.53,Net Banking,Returned,"Ward, Perez and Scott",kimberlymosley@savage.biz,23,No,0
ORD1006,2024-05-19,2024-05-21,CUST558,Tina Hubbard,Corporate,PROD9886,Laptop,Electronics,East,Hawaii,Port Margaret,9,3130,20,22536.0,13667.21,8868.79,UPI,Returned,Mckenzie-Chase,cassierussell@franco.com,17,No,0
ORD1007,2026-03-03,2026-03-10,CUST570,Christopher Joseph,Home Office,PROD5630,Study Table,Furniture,West,Ohio,Robertston,7,3841,15,22853.95,19460.49,3393.46,Net Banking,Cancelled,"Lewis, Davis and Carter",lfarmer@harvey-cooper.biz,7,Yes,49
ORD1008,2025-04-12,2025-04-17,CUST596,Deborah Mitchell,Corporate,PROD1564,Dining Table,Furniture,West,Idaho,Port Michaelstad,5,607,20,2428.0,1966.7,461.3,Credit Card,Returned,Thomas and Sons,vickimiles@juarez.biz,35,No,0
ORD1009,2024-12-03,2024-12-06,CUST188,Debbie Taylor,Corporate,PROD1727,Stapler,Office Supplies,East,Indiana,New Benjamin,9,3558,5,30420.9,24169.52,6251.38,Net Banking,Delivered,"Grimes, Bradford and Mcdaniel",burkemary@garcia-fields.biz,10,No,0
ORD1010,2024-10-18,2024-10-21,CUST488,Kenneth Burns,Consumer,PROD6309,Rice Bag,Grocery,East,Iowa,Port David,8,3436,5,26113.6,21941.27,4172.33,UPI,Returned,Davis and Sons,gibsondiane@daniels-taylor.info,20,No,0
ORD1011,2024-05-17,2024-05-18,CUST363,Alyssa Ramirez,Consumer,PROD9111,Study Table,Furniture,West,North Carolina,Wallberg,4,2152,10,7747.2,5071.26,2675.94,Credit Card,Returned,"Pierce, Owens and Molina",kimberly95@taylor.com,22,No,0
ORD1012,2025-01-07,2025-01-10,CUST765,John Rollins,Corporate,PROD5243,Calculator,Office Supplies,East,Texas,Edwardburgh,7,3214,0,22498.0,17177.29,5320.71,Net Banking,Delivered,Reynolds PLC,nmartin@cannon.org,13,No,0
ORD1013,2025-02-04,2025-02-05,CUST707,Theresa Pham,Consumer,PROD7901,Stapler,Office Supplies,South,Wyoming,New Justin,6,3131,0,18786.0,12543.97,6242.03,Cash,Pending,Dunlap-Allen,johnsoncory@nolan.info,25,No,0
ORD1014,2025-08-04,2025-08-08,CUST273,Rachel Smith,Corporate,PROD6246,Cooking Oil,Grocery,South,Maryland,Port Natashamouth,6,255,0,1530.0,1092.86,437.14,Cash,Returned,Mccullough-Harvey,william83@lara.net,2,Yes,49
ORD1015,2024-04-15,2024-04-16,CUST785,Tyler Lopez,Corporate,PROD6095,Juice Pack,Grocery,East,Vermont,Curryport,8,1439,5,10936.4,6748.32,4188.08,Cash,Cancelled,"Howard, Taylor and Bailey",mfoster@roberts.info,47,No,0
ORD1016,2025-12-17,2025-12-22,CUST790,Jenny Dunn,Home Office,PROD5018,Laptop,Electronics,South,Connecticut,New Glennville,6,1572,5,8960.4,6843.94,2116.46,Net Banking,Cancelled,Griffin PLC,stephen51@rowe.com,32,No,0
ORD1017,2024-08-17,2024-08-23,CUST252,Jennifer Rivera,Home Office,PROD3520,Snacks,Grocery,North,New Mexico,Josephport,4,3120,15,10608.0,6751.6,3856.4,Credit Card,Delivered,Wilson LLC,kellybush@herring-glass.com,25,No,0
ORD1018,2025-09-16,2025-09-17,CUST153,Erica Howell,Home Office,PROD9507,Office Chair,Furniture,South,Alabama,South Joan,4,4021,20,12867.2,8670.14,4197.06,Net Banking,Returned,Brown Inc,iritter@evans.org,15,No,0
ORD1019,2024-06-03,2024-06-04,CUST235,Charles Jones,Consumer,PROD3062,Dining Table,Furniture,North,Ohio,West Edwinstad,3,4984,15,12709.2,9918.43,2790.77,Net Banking,Cancelled,"Williams, Arnold and Johnson",zjones@gallegos.com,38,No,0
ORD1020,2025-12-23,2025-12-25,CUST992,Brian Little,Corporate,PROD9890,Mouse,Electronics,West,Wisconsin,Port Eugeneberg,3,3479,0,10437.0,8899.6,1537.4,UPI,Pending,Hall Group,vcalderon@vazquez-oliver.com,35,No,0
